[Start Region 1]	Cost	Unique	Keywords	Effect	License
ATHENA-class NHP	3	Yes	AI	Your mech gains the AI property and gains the ATHENA protocol: ATHENA protocol Quick Action 3 heat (self). Choose a blast 4 area within 1 mile of you. Your AI constructs a perfect, real-time, 3d model of this are that you can rotate and interact with, including actors that move in and out of that area, and extreme detail. Moving the area requires activating this protocol again, but it lasts until the end of the current challenge (or about 10 minutes in narrative time). Your mech gains perfect line of sight in this area and can relay this to allies, letting any attacks from yourself or allies in the area ignore light and heavy cover. Hostile targets that end their turn in this area lose invisibility or hiding, and you can see the current heat and HP levels of all targets in the area.	SSC Swallowtail III
Cloaking Field	4	-	2 heat (self), Quick Action	You can activate or deactivate the light bending properties of this module as a quick action. It lasts until the end your next turn. When you activate this module, your mech and all allied targets within a burst 3 area centered on you become invisible while they remain in the area. This area moves when you move, and remains centered on you. If you make an overheating check or take damage, this module immediately becomes inactive.	SSC Swallowtail III
Companion Gun	2	Yes	-	Whenever you score a critical hit against a target, this shoulder-mounted gun can calibrate and rapidly fires a projectile that also deals 2 explosive damage to a different target within range 5 of your primary target, no attack roll required (as long as the target is in line of sight)	SSC Monarch I
Stabilizer Weapon Mod	1	-	Mod	Choose 1 launcher or cannon weapon. Increase its base range by 5.	SSC Monarch II
TLALOC-class NHP	3	Yes	AI	Your mech gains the AI property and the TLALOC protocol. TLALOC protocol Protocol 2 heat (self). Your mech is capable of rapidly firing and re-targeting your weapons, far faster than you can think. When you activate this protocol, your mech is immobilized until the start of your next turn, but if you miss any weapon attack, you can immediately re-roll the attack as long as you target a different target in range or area of effect (if the attack was blast, line, or cone). You can take this re-roll only once for each attack (if the second attack misses you don’t get to keep making it), and a target already hit by this attack (from a re-roll or otherwise) cannot be targeted again.	SSC Monarch III
Exposed Singularity	2	Yes	Reaction	Once per round, when your mech takes damage, you can immediately teleport up to 1d6 spaces as a reaction in a direction of your choosing (though if this teleport would put you inside an obstacle or other mech you take damage as normal and the teleport fails).	SSC Mourning Cloak II
Hunter Cloak	2	Yes	Quick Tech	Gain the following quick tech option: Hunt: Choose a target in your sensor range. Your systems infect the target with a viral logic that wipes your image from their sensors. Until you are damaged by that target, they count you as invisible. This system can only affect one target at a time (other targets still count you as visible and can see you normally).	SSC Mourning Cloak II
FADE Cloak	2	-	Quick Action	When activated, you go out of phase with reality. You can ignore obstructions such as walls or cover, and pass through enemy mechs and solid objects as if they weren't there, but cannot end your turn in their space. You cannot interact with the world, but neither can it interact with you (in terms of damage, etc). If you are forced to return to normal space inside an object, instead take 2d6 AP Kinetic damage and return in the nearest available space. While this system is active, at the start of your turn roll a d6; on 4+ you remain out of phase, on a 3+ you return to the battlefield until the start of your next turn. This drive deactivates if you make an overheating check, deactivate it at the start of your turn as a free action, or rest.	SSC Mourning Cloak III
Hi-Stress Mag Clamps	1	Yes	-	Choose one ranged weapon. You can fire a tracer round from it instead of a normal shot. It deals 0 damage maximum, but on a hit, your next attack roll against the same target gains +2 Accuracy and ignores invisibility.	SSC Death's Head I
Tracking Drone	1	-	Quick Tech	Gain the following quick tech action: Tracking Drone: Make a tech attack against a target in your sensor range. On a hit, you know the target’s exact location, HP, Structure, Heat, and speed, and it cannot hide or benefit from invisibility from you until the drone is removed from them. It takes a quick action and a successful engineering check from the targeted mech to remove a tracking drone.	SSC Death's Head I
Veil Generator	1	-	Limited (1), Deployable, Quick Action	Once deployed in a free adjacent space as a quick action, this size 1 generator creates a weak cloaking field. It creates a burst 3 zone around in until the end of the current challenge. This zone doesn’t move, but allied mechs inside count as in light cover and are immune to all tech actions (even friendly ones). Once deployed, this generator continues to run until out of charge and cannot be re-used or re-deployed. It benefits from its own field and has 2 armor.	SSC Death's Head II
Kinetic Compensator	2	Yes	-	When you miss with any ranged attack roll, your next ranged attack roll gains +1 Accuracy	SSC Death's Head III
Core Siphon	2	Yes	-	At the beginning of your turn, you can give the first attack roll of your turn +1 accuracy. If you do, any additional attack rolls until the end of your turn gain +1 difficulty.	SSC Dusk Wing I
SSC Neurospike Mk1	2	Yes	Quick Tech	"Gain the following quick tech choices: Shrike Code: Make a tech attack against a target in your sensor range with +1 difficulty. On hit, until the end of your next turn, each time your target makes an attack roll, it first takes 1 heat.
Mirage: Make a tech attack against a target in your sensor range. On hit, choose yourself or a friendly mech you can see. Your target’s systems relay illusory duplicates of that mech that confuse your target’s systems. That friendly mech (or your mech) counts as invisible to your target until the end of your next turn."	SSC Dusk Wing II
StunCrown	2	-	Limited (2), Quick Action	All hostile targets in a burst 10 area centered on your mech that can see your mech must pass an agility check or become Jammed, and a systems check or become Impaired. Both effects last until the start of your next turn. Allied mechs are not affected.	SSC Dusk Wing III
Flicker Field	1	Yes	-	When you move or boost, you project a holographic pattern around your mech that leaves dazzling afterimages, making it hard to discern your mech’s location. After moving or boosting you count as having invisibility against the very next attack roll against you. The field disperses after this attack, hit or miss. You can only gain the effect of this field once (you can’t ‘stack’ up several instances of it).	SSC Dusk Wing III
Shock Wreath	2	-	Mod	Choose 1 melee weapon. It gains Burn depending on its size (Aux 1, Main 2, Heavy or larger: 3). If it already has Burn, increase the burn it deals by the same amount.	SSC Metalmark I
Reactive Weave	1	Yes	-	When you Brace, your mech can immediately move its speed as a reaction and also gains invisibility until the end of its next turn.	SSC Metalmark I
Armor-Piercing Mod	2	-	Mod	Choose one ranged or melee weapon. It gains the AP tag.	SSC Metalmark II
Active Camo	2	Yes	2 heat (self), Protocol	You can activate or deactivate the light bending properties of this module at the start of your turn. It lasts until the start of your next turn. While this module is active, you are invisible. If you take damage or make an overheating roll, this module deactivates.	SSC Metalmark III
Ferrous Lash	2	-	Quick Action	A target of your choice in Range 10 must pass an agility check with 1 difficulty. On a failure, it is pulled 5 in a direction of your choice. This movement must obey obstructions, terrain, etc, but doesn't provoke reactions and ignores engagement. If it collides with an obstacle or another mech, it is additionally knocked prone.	SSC Black Witch I
ICEOUT Drone	2	-	Limited (2), Drone, Quick Action	You fire an ICEOUT drone at a point within range 10 of you, where it hovers in place. The drone is invisible. Once fired, the drone creates a burst 2 zone around itself. Any target at least partially covered by the zone, allied or enemy, is immune to all tech actions (even beneficial ones), and cannot make or benefit from any tech actions. Any negative statuses caused by tech actions immediately end. Targets inside the zone don’t show up on any electronic sensors and are only visible to the naked eye or optics. The drone deactivates at the end of the current challenge or when destroyed, and cannot be re-used. You can move it again as a quick action.	SSC Black Witch II
Mag Deployer	2	-	Quick Action	You flash-print a heavy metal plate that takes up a 2x2 free space in range 5 of you. It is flat and doesn’t obstruct movement. You can set the system to one of two settings when you create it: Repulse: Any hostile target that enters the space must pass an hull check or be pushed in a direction of your choice 3 spaces. If this causes them to collide with an obstruction (terrain, a mech, etc) it is additionally knocked prone. An allied target that enters the space can fly 3 in any direction as a free action. Attract: Any target, allied or enemy, that enters the space, must pass a hull check or become immobilized. It can end this status by taking a quick action and repeating this check successfully to free itself. The deployer can be attacked - it has evasion 5, 20 hp, and 2 armor, and it lasts until the end of the current challenge or around an hour outside. You can only deploy one at at time. If you create a new deployer, the old one disintegrates and is destroyed.	SSC Black Witch II
Black ICE Module	3	Yes	-	Hostile tech actions or system attacks against your mech any adjacent ally are made at +1 Difficulty. Successive attacks in the same combat from any target are made with an additional +1 Difficulty (cumulative). This difficulty has a maximum of +4, and resets when it would hit +5 back to +1 as its definitions roll over.	SSC Black Witch III
Mag Shield	2	Yes	Shield, Quick Action	"As a quick action, this system creates a line 4 force field 4 spaces high with at least 1 square in an adjacent space to you. Any adjacent mech can use this force field for heavy cover from
attacks on the other side. It additionally gains resistance to kinetic and explosive damage from attacks on the other side of this field, but conversely, any of its targets on the other side of the forcefield gain resistance to kinetic and explosive damage from its attacks. The shield lasts until the end of the current challenge, but only 1 shield can be placed at a time."	SSC Black Witch III
Scanner Swarm	2	Yes	-	Your Tech actions against targets in melee engagement with you gain +2 Accuracy.	HORUS Balor I
Hive Drone	2	-	Drone, Quick Action, Sensor Range	You can fire this drone to an empty space as a quick action. While it’s active, it emits a burst 1 area around it that grants light cover to any allied mech at least partially covered by the zone (it benefits from its own cover). In addition, any hostile target that starts its turn in the area or enters it for the first time on their turn takes 1 AP kinetic damage. You can move it to a different space in your sensor range by repeating this action.	HORUS Balor I
Boost Swarm	2	-	-	Gain a new full tech option: Nanoboost (Full Tech): Make a systems check. On success, another allied mech in sensor range can immediately end the Impaired and Jammed statuses on itself and repair your systems score in HP.	HORUS Balor II
Nanite Ammo Mod	2	-	Ammo	Choose 1 ranged weapon. You fire a swarm of nanobots instead of regular ammo. The weapon gains the Smart and Seeking properties.	HORUS Balor II
H0r_OS System Upgrade I	2	Yes	Quick Tech	"Gain the following quick tech options:
- Puppet system - Make a tech attack against a target in your sensor range. On hit, your target immediately moves in a direction of your choice as a reaction up to its maximum speed. This could carry it into hazardous areas, obstacles, etc, but it still obeys difficultterrain and other rules of movement.
- Eject power cores - Make a tech attack against a target in your sensor range. On hit,  your target becomes Jammed until the end of its next turn, ejecting ammo magazines and temporarily disrupting its computer. A target can only be affected by this effect once per combat."	HORUS Goblin I
HORUS Meta-hook	1	-	Quick Tech	Gain the following quick tech option: Link: Choose a friendly target in sensor range. You link systems with that target. From hereon, you can count that target’s sensor range as your sensor range for the purposes of tech actions, etc. In addition, you can make system skill checks for your target as a reaction, using your systems score. However, you both suffer the effects from any failed check (heat, statuses, etc). You can only link systems with one target at a time, and the effect ends if your target moves out of your sensor range.	HORUS Goblin I
//MONGOOSE v. 3.4	2	Yes	-	Gain the following quick tech option: Baleful Purge: Choose a target in range and make a tech attack. If your attack is successful, until the end of that target’s next turn, it cannot benefit from any Accuracy bonuses of any kind.	HORUS Goblin II
H0r_OS System Upgrade II	3	Yes	Full Tech	"Gain the following full tech options:
-Erasure Logic: Make a tech attack against a target in your sensor range. On hit, the target must pass a system skill check or be stunned until the end of its next turn. It can only be affected by this option once per combat.
-Celestial paradigm shift: Make a tech attack against a target in your sensor range with +2 difficulty. On hit, The target takes 1d6+1 heat."	HORUS Goblin III
OSIRIS-Class NHP	3	Yes	AI	Your mech gains the AI property and the OSIRIS protocol: Protocol 1d3+2 heat (self). This turn only, you can make any quick tech action as a free action.	HORUS Goblin III
Puppetmaster	1	Yes	Quick Tech	Gain the following quick tech option: Fractal Logic: Make a tech attack against a target in your sensor range. On hit, Your target cannot use systems or weapons with the Drone, Nexus or Smart tags until the start of your next turn.	HORUS Hydra I
Turret Drone Nexus	2	-	Limited (4), Drone, Quick Action	"This system fires a turret drone that attaches to any friendly mech or surface within sensor range. While attached, you gain the following reaction once for each turret you have deployed.
Turret attack. Trigger: An allied mech hits with an attack within range 15 of the turret. Deal 2 kinetic damage to that target. The turret can be attacked and damage as normal, like any other deployable drone"	HORUS Hydra II
Assassin Drone Nexus	2	-	Drone, Quick Action	As a quick action, you may deploy this drone in an adjacent space, target a blast 2 area within sensor range, and gain this reaction: Assassin drone: Trigger: A hostile target starts its turn in that area or enters it for the first time on their turn. Make a targeting vs evasion attack, using your mech’s targeting. On a hit, deal 1d6 kinetic damage. The drone and the area it targets persists until the end of the current challenge. You can recall it, move it to another area in sensor range, or retarget the area with another quick action.	HORUS Hydra III
Tempest Drone Nexus	2	-	Drone, Quick Action	You fire a large shielded drone to an empty space within sensor range. Any target that starts their turn adjacent to the drone or moves their for the first time on their turn must pass an engineering check or take 1d6 energy damage, then get knocked back 3 spaces directly away from the drone. The drone persists until recalled. You can move the drone to a new space within sensor range as a quick action. The drone can be targeted and destroyed as normal, but has resistance to all damage	HORUS Hydra III
Sentinel Drone Nexus	2	-	Drone, Quick Action	You fire this drone as a quick action at a free space in sensor range, creating a burst 2 area centered on the drone. It can be attacked and destroyed as normal. You can move the area the drone effects (and the drone itself) by taking this action again. While the drone is active, any hostile target that attacks in that area takes 1 kinetic damage before they attack as the drone shoots them (no check or attack roll required).	HORUS Gorgon I
Point Defense Weapon	2	-	Quick Action	You can prime your PDW by taking a quick action. Roll 1d3, and gain that many charges. You can use a reaction while you have charges to spend 1 charge when any mech in your sensor range is attacked by a weapon with the smart, nexus, or launcher tag to completely nullify that attack (it automatically misses). You lose these charges at the start of your next turn.	HORUS Gorgon I
MONITOR Module	2	-	Quick Action	When you take this quick action, choose an ally and roll a 1d3 to gain that many charges. Until the start of your next turn, when that ally is attacked by a hostile target, you can spend a charge to attack that target if they are in range as a reaction, with +1 difficulty. You lose these charges at the start of your next turn.	HORUS Gorgon II
//SCORPION v. 70.1	2	Yes	-	If any hostile tech action or attack attempt on you or any adjacent ally misses, you may choose one of the following results for the attacker: 1) The attacker is Impaired until the end of its next turn. 2) The attacker is Jammed until the end of its next turn. 3) The attacker takes 3 heat.	HORUS Gorgon II
SCYLLA Class NHP	3	Yes	AI	Your mech gainst the AI property and the SCYLLA Protocol 3 heat (self). Until the start of your next turn, you gain 2 reactions. These reactions can be used to make a skirmish action as a reaction with +2 difficulty. You set the trigger for these reactions from the following list: 1) An enemy attacks you or an allied target you can see. 2) An enemy attempts to interact with an object in the environment (not held, worn, or part of a mech) of your choosing.	HORUS Gorgon III
EMP Mine	1	-	Limited (2), Mine	Once planted, EMP charges can be detonated remotely as an action, or activate normally like a mine. All affected mechs in a burst 1 area around the charge when it activates must pass a systems check with 1 difficulty or take 1d6 heat, or half on successful check.	HORUS Manticore I
Haywire Ammo	1	-	Ammo	Choose 1 ranged weapon - On a hit, the next Tech action against that target is made with +1 Accuracy.	HORUS Manticore II
Ram Drive	2	Yes	Danger Zone	While you are in the Danger Zone (the bottom half of your heat gauge), all adjacent targets to you, allied or enemy, take 1d3 energy damage if they begin their turn next to you or move there during the course of their turn.	HORUS Manticore II
EM Pulse	2	Yes	Full Action, Limited (1), urst 3	On activation, your mech is stunned until the end of your next turn. All affected targets (allied and enemy) that don’t have the biological tag in the affected area around your mech make an engineering check with +2 difficulty. On a failure, they are stunned until the end of their following turns and take 1d6 heat.	HORUS Manticore III
Lightning Generator	2	Yes	-	At the start of your turn, you can take 1 heat (self) to deal 1d3 energy damage to all targets adjacent to you, no roll required.	HORUS Manticore III
Viral Logic	1	Yes	Quick Action	Gain the following quick tech action: Logic Bomb (Quick Action): Choose a blast 2 area within sensor range. All targets in the area (allied or enemy) must pass a systems check or become crippled until the end of your next turn.	HORUS Minotaur I
Localized Maze	2	Yes	-	Targets that become engaged with you must pass a systems skill check or become immobilized until the start of their next turn.	HORUS Minotaur I
Mesmer Mine	1	-	Limited (2), Mine	This mine activates for a burst 1 area centered on itself. All targets caught in that area, allied or enemy, must pass a systems check or become immobilized until the end of their next turn.	HORUS Minotaur II
Aggressive System Sync	2	-	Full Tech	"Gain the following full tech options:
-Chains of Prometheus: Make a tech attack against a target in your sensor range. On hit, your target must end its turn within range 5 of you until the rest of this challenge. Otherwise it takes 3 heat at the end of its turn.
-Excommunicate: Make a tech attack against a target in your sensor range. On a hit, for the rest of combat, if your target moves adjacent to a target allied to them or starts their turn adjacent to such a target, both targets take 1d6 heat immediately. Only one target can be affected by this at once."	HORUS Minotaur II
Interdictor Field	3	-	Quick Action	You can activate or deactivate this field as a quick action. Once activated, at the start of your next turn, it creates a burst 3 area around your mech that becomes both dangerous and difficult terrain for hostile targets (requires a systems check to navigate or they take 5 kinetic damage). Your mech is immobilized while this field is active, and the field and immobilization remains until you take a quick action to deactivate it. Allied targets are not affected.	HORUS Minotaur III
LAW OF BLADES	2	Yes	Full Action	"Gain the following full tech actions:
-Predator/Prey Concepts: Make a tech attack against a target in your sensor range. On hit, Targeted mech immediately fires a single weapon at a target of your choice that is within its range. It gets +1 difficulty on this roll but otherwise benefits from other bonuses to accuracy.
-Slave Systems: Make a tech attack against a target in your sensor range. On hit, the targeted mech immediately takes one of the following actions of your choice as a reaction with you controlling the action: Boost, Stabilize, Improvised Attack, Grapple. A friendly mech can be targeted with this action."	HORUS Minotaur III
Hunter Lock	2	Yes	Protocol	Nominate a target in your sensor range. Your first attack that hits that target per round deals +3 bonus damage. You cannot nominate a new target until your nominated target is destroyed or the current challenge ends.	HORUS Pegasus I
Smart Weapon Modification	1	-	-	Choose 1 ranged or melee weapon. It gains the Smart property, as advanced sub-sentient AI routines and targeting guide its attacks.	HORUS Pegasus II
Eye of HORUS	3	Yes	Quick Action	Until the start of your next turn, targets in your sensor range of you cannot hide from you, cannot benefit from invisibility against you, and you can receive information from one target in that range as if you had scanned them. Other targets still see them as invisible and hidden.	HORUS Pegasus III
External Batteries	2	Yes	-	Your energy ranged weapons gain +5 range, and your energy melee weapons gain +1 threat. If you overheat, it explodes, dealing 1d6 AP explosive damage to your mech. This damage can’t be prevented in any way.	HA Tokugawa I
Experimental Heat Sink	2	Yes	-	You can re-roll the first overheating check you make a turn, but must accept the second result (even if it is worse).	HA Tokugawa I
AMATERASU-class NHP	3	Yes	AI	Your mech gains the AI property and the Amaterasu Protocol: Protocol, 1d3+3 Heat (self). Increase the bonus damage on hit of your next ranged or melee attack this turn, melee or ranged, by your current heat after activating this protocol. The chosen weapon must deal at least partly energy damage.	HA Tokugawa III
Siege Stabilizers	2	-	Quick Action	Extend or retract your stabilizers as a quick action. Your mech is immobilized while this system is active, but you can increase the base range of your ranged weapon attacks by +5. You cannot directly target any target within range 5 when this system is activated.	HA Barbarossa I
External Ammo Feed	3	Yes	-	Once on your turn, you can take 1d3+2 heat to reload any weapon with the Loading tag as a Free Action.	HA Barbarossa I
Auto-Loader Drone	2	-	Limited (1), Drone	This drone can be deployed in an adjacent space. While deployed, once per round, any one adjacent mech can reload a weapon with the Loading tag as a free action. It lasts until the end of the current challenge, then deactivates.	HA Barbarossa II
